AX-602400971	PS_chr01	90654
AX-602396000	PS_chr01	400267
AX-601671684	PS_chr01	434082
AX-613713321	PS_chr01	489113
AX-602401028	PS_chr01	523166
AX-601671694	PS_chr01	555505
AX-614078084	PS_chr01	1822499
AX-389790924	PS_chr01	1826611
AX-600428722	PS_chr01	1827073
AX-388355486	PS_chr01	4913054
AX-601671709	PS_chr01	5642768
AX-601668553	PS_chr01	5643997
AX-387727383	PS_chr01	5644088
AX-613747302	PS_chr01	5748610
AX-389938569	PS_chr01	5807469
AX-601671720	PS_chr01	5809869
AX-614045981	PS_chr01	5963825
AX-602442804	PS_chr01	6126254
AX-613749870	PS_chr01	6211812
AX-602046261	PS_chr01	7041874
AX-387983886	PS_chr01	7114784
AX-389984670	PS_chr01	7115200
AX-600017573	PS_chr01	9858186
AX-601621797	PS_chr01	15219885
AX-613976944	PS_chr01	17306933
AX-252020409	PS_chr01	22571473
AX-250807210	PS_chr01	22572484
AX-117397977	PS_chr01	22572604
AX-117428620	PS_chr01	22572729
AX-602367817	PS_chr01	22578503
AX-601623121	PS_chr01	23623566
AX-601619442	PS_chr01	23624401
AX-388126556	PS_chr01	23674854
AX-389410965	PS_chr01	23675431
AX-601005596	PS_chr01	25739247
AX-389524492	PS_chr01	25742546
AX-388261358	PS_chr01	25743156
AX-612504588	PS_chr01	26411235
AX-388677600	PS_chr01	26434438
AX-387475172	PS_chr01	26434965
AX-600424981	PS_chr01	26965760
AX-389110203	PS_chr01	26965773
AX-601016338	PS_chr01	26999759
AX-389891474	PS_chr01	27204991
AX-117408954	PS_chr01	27206365
AX-389862501	PS_chr01	27206767
AX-601016319	PS_chr01	27206854
AX-612575058	PS_chr01	27414624
AX-602036553	PS_chr01	27443872
AX-612574982	PS_chr01	27545016
AX-602036546	PS_chr01	27598966
AX-388350075	PS_chr01	27996300
AX-389794057	PS_chr01	27997046
AX-554832836	PS_chr01	27998131
AX-601619396	PS_chr01	27999519
AX-612504266	PS_chr01	28735127
AX-601005011	PS_chr01	33760843
AX-601015902	PS_chr01	33972588
AX-601004889	PS_chr01	34181731
AX-601015859	PS_chr01	34603774
AX-601623071	PS_chr01	34610941
AX-601004826	PS_chr01	34813194
AX-612574631	PS_chr01	34838906
AX-601015687	PS_chr01	42164979
AX-601619384	PS_chr01	42361827
AX-526445794	PS_chr01	42362123
AX-388843963	PS_chr01	44911685
AX-601004625	PS_chr01	45296570
AX-387901344	PS_chr01	45300076
AX-605707352	PS_chr01	45327249
AX-601015573	PS_chr01	45388507
AX-387703147	PS_chr01	45389425
AX-389705965	PS_chr01	46394200
AX-602038129	PS_chr01	46398188
AX-612503832	PS_chr01	46401292
AX-388441968	PS_chr01	46583482
AX-601015521	PS_chr01	46624540
AX-601015511	PS_chr01	46646774
AX-601015482	PS_chr01	46867302
AX-606234079	PS_chr01	46990795
AX-605569245	PS_chr01	50990870
AX-600460147	PS_chr01	51466724
AX-601954893	PS_chr01	52993577
AX-605576244	PS_chr01	55018654
AX-387801205	PS_chr01	55027566
AX-601606803	PS_chr01	55028896
AX-600460049	PS_chr01	55031976
AX-600460047	PS_chr01	55033325
AX-612153358	PS_chr01	55431741
AX-612084155	PS_chr01	56259073
AX-600423236	PS_chr01	56655542
AX-600459877	PS_chr01	58221459
AX-600459875	PS_chr01	58222307
AX-601610459	PS_chr01	58223271
AX-600477541	PS_chr01	58223616
AX-600477498	PS_chr01	59002677
AX-600459815	PS_chr01	59153395
AX-389034258	PS_chr01	59170028
AX-600477471	PS_chr01	59170194
AX-601606790	PS_chr01	59928146
AX-388130015	PS_chr01	60272484
AX-600459725	PS_chr01	60294443
AX-600477352	PS_chr01	66243735
AX-600477350	PS_chr01	66246960
AX-600440597	PS_chr01	67887693
AX-389073370	PS_chr01	67887997
AX-600477323	PS_chr01	67968368
AX-600459604	PS_chr01	69228588
AX-605576119	PS_chr01	69431598
AX-600459402	PS_chr01	69836849
AX-600459398	PS_chr01	69845829
AX-606135733	PS_chr01	69854348
AX-605569026	PS_chr01	70054293
AX-601606768	PS_chr01	71669848
AX-388461391	PS_chr01	71669861
AX-600459168	PS_chr01	72056836
AX-600476644	PS_chr01	72400278
AX-601606763	PS_chr01	72400695
AX-600458973	PS_chr01	72410394
AX-606143788	PS_chr01	72882554
AX-600476481	PS_chr01	72899997
AX-605575935	PS_chr01	73077697
AX-600476368	PS_chr01	73107989
AX-601610415	PS_chr01	73108069
AX-388372485	PS_chr01	73214576
AX-389044432	PS_chr01	73800343
AX-601610410	PS_chr01	73800619
AX-600476253	PS_chr01	74211078
AX-601610398	PS_chr01	74214913
AX-601606733	PS_chr01	74796374
AX-388841477	PS_chr01	74796617
AX-600458542	PS_chr01	74797832
AX-601610394	PS_chr01	74797966
AX-605575895	PS_chr01	74816015
